"sample_id","inferred_group","final_group","title","source_name_ch1","characteristics"
"GSM1257880","Normal","Normal","Ovary-Normal1","ovarian-epithelial-cells-normal","cell type: ovarian-epithelial-cells-normal | Stage: wnl"
"GSM1257881","Normal","Normal","Ovary-Normal2","ovarian-epithelial-cells-normal","cell type: ovarian-epithelial-cells-normal | Stage: wnl"
"GSM1257882","Normal","Normal","Ovary-Normal3","ovarian-epithelial-cells-normal","cell type: ovarian-epithelial-cells-normal | Stage: wnl"
"GSM1257883","Normal","Normal","Ovary-Normal4","ovarian-epithelial-cells-normal","cell type: ovarian-epithelial-cells-normal | Stage: wnl"
"GSM1257884","Normal","Normal","Ovary-Normal5","ovarian-epithelial-cells-normal","cell type: ovarian-epithelial-cells-normal | Stage: wnl"
"GSM1257885","Normal","Normal","Ovary-Normal6","ovarian-epithelial-cells-normal","cell type: ovarian-epithelial-cells-normal | Stage: wnl"
"GSM1257886","Normal","Normal","Ovary-Normal7","ovarian-epithelial-cells-normal","cell type: ovarian-epithelial-cells-normal | Stage: wnl"
"GSM1257887","Normal","Normal","Ovary-Normal8","ovarian-epithelial-cells-normal","cell type: ovarian-epithelial-cells-normal | Stage: wnl"
"GSM1257888","Normal","Normal","Ovary-Normal9","ovarian-epithelial-cells-normal","cell type: ovarian-epithelial-cells-normal | Stage: wnl"
"GSM1257889","Normal","Normal","Ovary-Normal10","ovarian-epithelial-cells-normal","cell type: ovarian-epithelial-cells-normal | Stage: wnl"
"GSM1257890","EOC","EOC","Ovary-Tumor1","ovarian-primary-tumor","cell type: ovarian-primary-tumor | Stage: III"
"GSM1257891","EOC","EOC","Ovary-Tumor2","ovarian-primary-tumor","cell type: ovarian-primary-tumor | Stage: Ic"
"GSM1257892","EOC","EOC","Ovary-Tumor3","ovarian-primary-tumor","cell type: ovarian-primary-tumor | Stage: IIIc"
"GSM1257893","EOC","EOC","Ovary-Tumor4","ovarian-primary-tumor","cell type: ovarian-primary-tumor | Stage: IIIc"
"GSM1257894","EOC","EOC","Ovary-Tumor5","ovarian-primary-tumor","cell type: ovarian-primary-tumor | Stage: IIIa"
"GSM1257895","EOC","EOC","Ovary-Tumor6","ovarian-primary-tumor","cell type: ovarian-primary-tumor | Stage: IV"
"GSM1257896","EOC","EOC","Ovary-Tumor7","ovarian-primary-tumor","cell type: ovarian-primary-tumor | Stage: IIIc/IV"
"GSM1257897","EOC","EOC","Ovary-Tumor8","ovarian-primary-tumor","cell type: ovarian-primary-tumor | Stage: IIIc"
"GSM1257898","EOC","EOC","Ovary-Tumor9","ovarian-primary-tumor","cell type: ovarian-primary-tumor | Stage: IIIa"
"GSM1257899","EOC","EOC","Ovary-Tumor10","ovarian-primary-tumor","cell type: ovarian-primary-tumor | Stage: III/IV"
